year,District,Dropout Rate (%),Literacy Rate (%),Teacher-Student Ratio,School Infrastructure Quality,Average Annual Income (INR)
2017-2018,Prakasam,0.50617284,0.30565461,01:36,Average,0.275038849
2017-2018,Srikakulam,0.382716049,0.229240958,01:35,Good,0.275038849
2017-2018,Visakhapatnam,0.259259259,0.50942435,01:32,Very Good,0.687597123
2017-2018,Vizianagaram,0.382716049,0.10188487,01:36,Good,0.275038849
2017-2018,West Godavari,0.259259259,0.891492613,01:33,Very Good,0.687597123
2016-2017,Anantapur,0.75308642,0.30565461,01:35,Good,0.206279137
2016-2017,Chittoor,0.50617284,0.713194091,01:33,Very Good,0.412558274
2016-2017,East Godavari,0.320987654,0.687722873,01:37,Good,0.618837411
2016-2017,Guntur,0.567901235,0.50942435,01:34,Average,0.206279137
2016-2017,Kadapa,0.50617284,0.458481915,01:36,Good,0.206279137
2016-2017,Krishna,0.259259259,0.815078961,01:32,Very Good,0.412558274
2016-2017,Kurnool,0.814814815,0.127356088,01:38,Average,0.206279137
2016-2017,Nellore,0.382716049,0.585838003,01:35,Good,0.206279137
2016-2017,Prakasam,0.567901235,0.280183393,01:37,Average,0.206279137
2016-2017,Srikakulam,0.444444444,0.20376974,01:36,Good,0.206279137
2016-2017,Visakhapatnam,0.320987654,0.483953133,01:33,Very Good,0.618837411
2016-2017,Vizianagaram,0.444444444,0.076413653,01:37,Good,0.206279137
2016-2017,West Godavari,0.320987654,0.866021396,01:34,Very Good,0.618837411
2015-2016,Anantapur,0.75308642,0.30565461,01:35,Good,0.206279137
2015-2016,Chittoor,0.50617284,0.713194091,01:33,Very Good,0.412558274
2015-2016,East Godavari,0.320987654,0.687722873,01:37,Good,0.618837411
2015-2016,Guntur,0.567901235,0.50942435,01:34,Average,0.206279137
2015-2016,Kadapa,0.50617284,0.458481915,01:36,Good,0.206279137
2015-2016,Krishna,0.259259259,0.815078961,01:32,Very Good,0.412558274
2015-2016,Kurnool,0.814814815,0.127356088,01:38,Average,0.206279137
2015-2016,Nellore,0.382716049,0.585838003,01:35,Good,0.206279137
2015-2016,Prakasam,0.567901235,0.280183393,01:37,Average,0.206279137
2015-2016,Srikakulam,0.444444444,0.20376974,01:36,Good,0.206279137
2015-2016,Visakhapatnam,0.320987654,0.483953133,01:33,Very Good,0.618837411
2015-2016,Vizianagaram,0.444444444,0.076413653,01:37,Good,0.206279137
2015-2016,West Godavari,0.320987654,0.866021396,01:34,Very Good,0.618837411
2014-2015,Anantapur,0.87654321,0.254712175,01:37,Good,0.068759712
2014-2015,Chittoor,0.62962963,0.662251656,01:35,Very Good,0.275038849
2014-2015,East Godavari,0.444444444,0.636780438,01:39,Good,0.481317986
2014-2015,Guntur,0.691358025,0.458481915,01:36,Average,0.068759712
2014-2015,Kadapa,0.62962963,0.40753948,01:38,Good,0.068759712
2014-2015,Krishna,0.382716049,0.764136526,01:34,Very Good,0.275038849
2014-2015,Kurnool,0.938271605,0.076413653,01:40,Average,0.068759712
2014-2015,Nellore,0.50617284,0.534895568,01:37,Good,0.068759712
2014-2015,Prakasam,0.691358025,0.229240958,01:39,Average,0.068759712
2014-2015,Srikakulam,0.567901235,0.152827305,01:38,Good,0.068759712
2014-2015,Visakhapatnam,0.444444444,0.433010698,01:35,Very Good,0.481317986
2014-2015,Vizianagaram,0.567901235,0.025471218,01:39,Good,0.068759712
2014-2015,West Godavari,0.444444444,0.815078961,01:36,Very Good,0.481317986
2013-2014,Anantapur,0.938271605,0.229240958,01:38,Good,0
2013-2014,Chittoor,0.691358025,0.636780438,01:36,Very Good,0.206279137
2013-2014,East Godavari,0.50617284,0.611309221,01:40,Good,0.412558274
2013-2014,Guntur,0.75308642,0.433010698,01:37,Average,0
2013-2014,Kadapa,0.691358025,0.382068263,01:39,Good,0
2013-2014,Krishna,0.444444444,0.738665308,01:35,Very Good,0.206279137
2013-2014,Kurnool,1,0.050942435,01:41,Average,0
2013-2014,Nellore,0.567901235,0.50942435,01:38,Good,0
2013-2014,Prakasam,0.75308642,0.20376974,01:40,Average,0
2013-2014,Srikakulam,0.62962963,0.127356088,01:39,Good,0
2013-2014,Visakhapatnam,0.50617284,0.40753948,01:36,Very Good,0.412558274
2013-2014,Vizianagaram,0.62962963,0,01:40,Good,0
2013-2014,West Godavari,0.50617284,0.789607743,01:37,Very Good,0.412558274
